venue,team,win_odds,point_spread,season_round,full_date
MCG,Collingwood,1.18,-35.5,Round 17,2011-07-16
Etihad Stadium,St Kilda,1.78,-5.5,Round 17,2011-07-16
Etihad Stadium,West Coast,2.09,+5.5,Round 17,2011-07-16
TIO Stadium,Melbourne,1.25,-27.5,Round 17,2011-07-16
TIO Stadium,Port Adelaide,4.15,+27.5,Round 17,2011-07-16
SCG,Sydney,1.27,-24.5,Round 17,2011-07-17
SCG,Fremantle,3.80,+24.5,Round 17,2011-07-17
Gabba,Brisbane,8.05,+41.5,Round 17,2011-07-17
Gabba,Geelong,1.08,-41.5,Round 17,2011-07-17
Etihad Stadium,North Melbourne,3.00,+17.5,Round 17,2011-07-17
Etihad Stadium,Western Bulldogs,1.39,-17.5,Round 17,2011-07-17
Etihad Stadium,St Kilda,1.10,-38.5,Round 18,2011-07-22
Etihad Stadium,Adelaide,7.05,+38.5,Round 18,2011-07-22
Etihad Stadium,North Melbourne,1.12,-40.5,Round 18,2011-07-23
Etihad Stadium,Brisbane,6.35,+40.5,Round 18,2011-07-23
SCG,Sydney,1.51,-11.5,Round 18,2011-07-23
SCG,Western Bulldogs,2.57,+11.5,Round 18,2011-07-23
Metricon Stadium,Gold Coast,16.75,+77.5,Round 18,2011-07-23
Metricon Stadium,Collingwood,1.02,-77.5,Round 18,2011-07-23
MCG,Essendon,3.00,+16.5,Round 18,2011-07-23
MCG,Carlton,1.41,-16.5,Round 18,2011-07-23
Etihad Stadium,Geelong,1.07,-46.5,Round 18,2011-07-24
Etihad Stadium,Richmond,8.65,+46.5,Round 18,2011-07-24
MCG,Melbourne,4.30,+27.5,Round 18,2011-07-24
MCG,Hawthorn,1.22,-27.5,Round 18,2011-07-24
Domain Stadium,Fremantle,2.70,+14.5,Round 18,2011-07-24
Domain Stadium,West Coast,1.47,-14.5,Round 18,2011-07-24
Etihad Stadium,North Melbourne,3.75,+22.5,Round 19,2011-07-29
Etihad Stadium,Carlton,1.28,-22.5,Round 19,2011-07-29
Etihad Stadium,Western Bulldogs,2.31,+8.5,Round 19,2011-07-30
Etihad Stadium,West Coast,1.62,-8.5,Round 19,2011-07-30
GMHBA Stadium,Geelong,1.07,-45.5,Round 19,2011-07-30
GMHBA Stadium,Melbourne,8.65,+45.5,Round 19,2011-07-30
Domain Stadium,Fremantle,2.48,+12.5,Round 19,2011-07-30
Domain Stadium,Hawthorn,1.57,-12.5,Round 19,2011-07-30
Metricon Stadium,Gold Coast,7.60,+41.5,Round 19,2011-07-30
Metricon Stadium,St Kilda,1.10,-41.5,Round 19,2011-07-30
MCG,Collingwood,1.07,-46.5,Round 19,2011-07-31
MCG,Essendon,8.65,+46.5,Round 19,2011-07-31
AAMI Stadium,Adelaide,1.64,-7.5,Round 19,2011-07-31
AAMI Stadium,Port Adelaide,2.27,+7.5,Round 19,2011-07-31
Etihad Stadium,St Kilda,1.12,-36.5,Round 20,2011-08-05
Etihad Stadium,Fremantle,6.35,+36.5,Round 20,2011-08-05
MCG,Carlton,1.11,-41.5,Round 20,2011-08-06
MCG,Melbourne,6.70,+41.5,Round 20,2011-08-06
GMHBA Stadium,Geelong,1.01,-89.5,Round 20,2011-08-06
GMHBA Stadium,Gold Coast,16.50,+89.5,Round 20,2011-08-06
AAMI Stadium,Port Adelaide,20.00,+70.5,Round 20,2011-08-06
AAMI Stadium,Collingwood,1.01,-70.5,Round 20,2011-08-06
Etihad Stadium,Essendon,1.91,+0,Round 20,2011-08-06
Etihad Stadium,Sydney,1.93,+0,Round 20,2011-08-06
Gabba,Brisbane,1.67,-6.5,Round 20,2011-08-07
Gabba,Adelaide,2.21,+6.5,Round 20,2011-08-07
Aurora Stadium,Hawthorn,1.21,-30.5,Round 20,2011-08-07
Aurora Stadium,North Melbourne,4.45,+30.5,Round 20,2011-08-07
Domain Stadium,West Coast,1.09,-42.5,Round 20,2011-08-07
Domain Stadium,Richmond,7.50,+42.5,Round 20,2011-08-07
Etihad Stadium,St Kilda,6.35,+37.5,Round 21,2011-08-12
Etihad Stadium,Collingwood,1.12,-37.5,Round 21,2011-08-12
Domain Stadium,Fremantle,3.00,+17.5,Round 21,2011-08-13
Domain Stadium,Carlton,1.39,-17.5,Round 21,2011-08-13
MCG,Hawthorn,1.01,-78.5,Round 21,2011-08-13
MCG,Port Adelaide,16.65,+78.5,Round 21,2011-08-13
Etihad Stadium,Western Bulldogs,2.30,+7.5,Round 21,2011-08-13
Etihad Stadium,Essendon,1.65,-7.5,Round 21,2011-08-13
Gabba,Brisbane,1.38,-18.5,Round 21,2011-08-13
Gabba,Gold Coast,3.15,+18.5,Round 21,2011-08-13
Etihad Stadium,Melbourne,4.20,+26.5,Round 21,2011-08-14
Etihad Stadium,West Coast,1.23,-26.5,Round 21,2011-08-14
MCG,Richmond,3.55,+20.5,Round 21,2011-08-14
MCG,Sydney,1.30,-20.5,Round 21,2011-08-14
AAMI Stadium,Adelaide,10.20,+50.5,Round 21,2011-08-14
AAMI Stadium,Geelong,1.05,-50.5,Round 21,2011-08-14
Etihad Stadium,Carlton,2.25,+7.5,Round 22,2011-08-19
Etihad Stadium,Hawthorn,1.65,-7.5,Round 22,2011-08-19
Domain Stadium,West Coast,1.24,-26.5,Round 22,2011-08-20
Domain Stadium,Essendon,4.10,+26.5,Round 22,2011-08-20
Metricon Stadium,Gold Coast,4.90,+34.5,Round 22,2011-08-20
Metricon Stadium,Adelaide,1.18,-34.5,Round 22,2011-08-20
MCG,Collingwood,1.01,-81.5,Round 22,2011-08-20
MCG,Brisbane,20.00,+81.5,Round 22,2011-08-20
Etihad Stadium,North Melbourne,1.37,-19.5,Round 22,2011-08-20
Etihad Stadium,Fremantle,3.20,+19.5,Round 22,2011-08-20
ANZ Stadium,Sydney,2.19,+8.5,Round 22,2011-08-21
ANZ Stadium,St Kilda,1.68,-8.5,Round 22,2011-08-21
AAMI Stadium,Port Adelaide,4.75,+32.5,Round 22,2011-08-21
AAMI Stadium,Western Bulldogs,1.19,-32.5,Round 22,2011-08-21
MCG,Melbourne,2.07,+4.5,Round 22,2011-08-21
MCG,Richmond,1.76,-4.5,Round 22,2011-08-21
Domain Stadium,Fremantle,14.45,+71.5,Round 23,2011-08-26
Domain Stadium,Collingwood,1.03,-71.5,Round 23,2011-08-26
GMHBA Stadium,Geelong,1.07,-46.5,Round 23,2011-08-27
GMHBA Stadium,Sydney,8.65,+46.5,Round 23,2011-08-27
MCG,Hawthorn,1.10,-42.5,Round 23,2011-08-27
MCG,Western Bulldogs,7.05,+42.5,Round 23,2011-08-27
Gabba,Brisbane,3.65,+20.5,Round 23,2011-08-27
Gabba,West Coast,1.30,-20.5,Round 23,2011-08-27
Etihad Stadium,St Kilda,1.75,-4.5,Round 23,2011-08-27
Etihad Stadium,North Melbourne,2.13,+4.5,Round 23,2011-08-27
AAMI Stadium,Adelaide,1.37,-18.5,Round 23,2011-08-28
AAMI Stadium,Richmond,3.10,+18.5,Round 23,2011-08-28
MCG,Melbourne,1.11,-45.5,Round 23,2011-08-28
MCG,Gold Coast,6.70,+45.5,Round 23,2011-08-28
Etihad Stadium,Essendon,1.01,-70.5,Round 23,2011-08-28
Etihad Stadium,Port Adelaide,16.65,+70.5,Round 23,2011-08-28
MCG,Collingwood,1.31,-20.5,Round 24,2011-09-02
MCG,Geelong,3.45,+20.5,Round 24,2011-09-02
Metricon Stadium,Gold Coast,4.90,+32.5,Round 24,2011-09-03
Metricon Stadium,Hawthorn,1.18,-32.5,Round 24,2011-09-03
Etihad Stadium,Western Bulldogs,1.08,-46.5,Round 24,2011-09-03
Etihad Stadium,Fremantle,8.05,+46.5,Round 24,2011-09-03
SCG,Sydney,1.14,-35.5,Round 24,2011-09-03
SCG,Brisbane,5.75,+35.5,Round 24,2011-09-03
Domain Stadium,West Coast,1.13,-35.5,Round 24,2011-09-03
Domain Stadium,Adelaide,6.45,+35.5,Round 24,2011-09-03
MCG,Carlton,1.74,-5.5,Round 24,2011-09-03
MCG,St Kilda,2.14,+5.5,Round 24,2011-09-03
Adelaide Oval,Port Adelaide,2.13,+6.5,Round 24,2011-09-04
Adelaide Oval,Melbourne,1.72,-6.5,Round 24,2011-09-04
Etihad Stadium,Richmond,2.29,+8.5,Round 24,2011-09-04
Etihad Stadium,North Melbourne,1.63,-8.5,Round 24,2011-09-04
MCG,Geelong,1.68,-6.5,2011 Final,2011-09-09
MCG,Hawthorn,2.19,+6.5,2011 Final,2011-09-09
MCG,Collingwood,1.19,-30.5,2011 Final,2011-09-10
MCG,West Coast,4.75,+30.5,2011 Final,2011-09-10
Etihad Stadium,St Kilda,1.37,-17.5,2011 Final,2011-09-10
Etihad Stadium,Sydney,3.10,+17.5,2011 Final,2011-09-10
MCG,Carlton,1.36,-18.5,2011 Final,2011-09-11
MCG,Essendon,3.15,+18.5,2011 Final,2011-09-11
MCG,Hawthorn,1.45,-14.5,2011 Final,2011-09-16
MCG,Sydney,2.77,+14.5,2011 Final,2011-09-16
Domain Stadium,West Coast,1.43,-16.5,2011 Final,2011-09-17
Domain Stadium,Carlton,2.85,+16.5,2011 Final,2011-09-17
MCG,Collingwood,1.28,-23.5,2011 Final,2011-09-23
MCG,Hawthorn,3.70,+23.5,2011 Final,2011-09-23
MCG,Geelong,1.23,-28.5,2011 Final,2011-09-24
MCG,West Coast,4.20,+28.5,2011 Final,2011-09-24
MCG,Collingwood,2.06,+2.5,Grand Final,2011-10-01
MCG,Geelong,1.80,-2.5,Grand Final,2011-10-01
MCG,Richmond,2.89,+16.5,Round 1,2010-03-25
MCG,Carlton,1.42,-16.5,Round 1,2010-03-25
MCG,Geelong,1.21,-28.5,Round 1,2010-03-26
MCG,Essendon,4.50,+28.5,Round 1,2010-03-26
MCG,Melbourne,4.95,+31.5,Round 1,2010-03-27
MCG,Hawthorn,1.18,-31.5,Round 1,2010-03-27
ANZ Stadium,Sydney,2.64,+14.5,Round 1,2010-03-27
ANZ Stadium,St Kilda,1.49,-14.5,Round 1,2010-03-27
Gabba,Brisbane,1.32,-21.5,Round 1,2010-03-27
Gabba,West Coast,3.42,+21.5,Round 1,2010-03-27
AAMI Stadium,Port Adelaide,1.42,-16.5,Round 1,2010-03-28
AAMI Stadium,North Melbourne,2.89,+16.5,Round 1,2010-03-28
Etihad Stadium,Western Bulldogs,1.62,-8.5,Round 1,2010-03-28
Etihad Stadium,Collingwood,2.31,+8.5,Round 1,2010-03-28
Domain Stadium,Fremantle,1.96,+1.5,Round 1,2010-03-28
Domain Stadium,Adelaide,1.85,-1.5,Round 1,2010-03-28
Gabba,Brisbane,1.34,-19.5,Round 2,2010-04-01
Gabba,Carlton,3.30,+19.5,Round 2,2010-04-01
MCG,Collingwood,1.05,-46.5,Round 2,2010-04-03
MCG,Melbourne,10.45,+46.5,Round 2,2010-04-03
Domain Stadium,West Coast,1.63,-10.5,Round 2,2010-04-03
Domain Stadium,Port Adelaide,2.30,+10.5,Round 2,2010-04-03
Etihad Stadium,St Kilda,1.15,-34.5,Round 2,2010-04-03
Etihad Stadium,North Melbourne,5.60,+34.5,Round 2,2010-04-03
AAMI Stadium,Adelaide,1.54,-12.5,Round 2,2010-04-04
AAMI Stadium,Sydney,2.49,+12.5,Round 2,2010-04-04
Etihad Stadium,Essendon,1.44,-16.5,Round 2,2010-04-04
Etihad Stadium,Fremantle,2.80,+16.5,Round 2,2010-04-04
MCG,Richmond,10.15,+46.5,Round 2,2010-04-04
MCG,Western Bulldogs,1.05,-46.5,Round 2,2010-04-04
MCG,Hawthorn,2.55,+12.5,Round 2,2010-04-05
MCG,Geelong,1.52,-12.5,Round 2,2010-04-05
Etihad Stadium,St Kilda,1.33,-20.5,Round 3,2010-04-09
Etihad Stadium,Collingwood,3.37,+20.5,Round 3,2010-04-09
Etihad Stadium,North Melbourne,1.86,-1.5,Round 3,2010-04-10
Etihad Stadium,West Coast,1.95,+1.5,Round 3,2010-04-10
AAMI Stadium,Port Adelaide,1.91,+0,Round 3,2010-04-10
AAMI Stadium,Brisbane,1.91,+0,Round 3,2010-04-10
SCG,Sydney,1.08,-41.5,Round 3,2010-04-10
SCG,Richmond,8.00,+41.5,Round 3,2010-04-10
MCG,Carlton,1.46,-15.5,Round 3,2010-04-10
MCG,Essendon,2.73,+15.5,Round 3,2010-04-10
MCG,Melbourne,2.55,+13.5,Round 3,2010-04-11
MCG,Adelaide,1.52,-13.5,Round 3,2010-04-11
Etihad Stadium,Western Bulldogs,1.48,-14.5,Round 3,2010-04-11
Etihad Stadium,Hawthorn,2.67,+14.5,Round 3,2010-04-11
Domain Stadium,Fremantle,2.31,+9.5,Round 3,2010-04-11
Domain Stadium,Geelong,1.62,-9.5,Round 3,2010-04-11
Domain Stadium,West Coast,1.58,-10.5,Round 4,2010-04-16
Domain Stadium,Essendon,2.41,+10.5,Round 4,2010-04-16
Etihad Stadium,North Melbourne,2.58,+13.5,Round 4,2010-04-17
Etihad Stadium,Sydney,1.51,-13.5,Round 4,2010-04-17
AAMI Stadium,Adelaide,1.81,-2.5,Round 4,2010-04-17
AAMI Stadium,Carlton,2.01,+2.5,Round 4,2010-04-17
MCG,Collingwood,1.64,-8.5,Round 4,2010-04-17
MCG,Hawthorn,2.28,+8.5,Round 4,2010-04-17
Gabba,Brisbane,2.07,+4.5,Round 4,2010-04-17
Gabba,Western Bulldogs,1.77,-4.5,Round 4,2010-04-17
MCG,Richmond,3.80,+22.5,Round 4,2010-04-18
MCG,Melbourne,1.27,-22.5,Round 4,2010-04-18
GMHBA Stadium,Geelong,1.12,-38.5,Round 4,2010-04-18
GMHBA Stadium,Port Adelaide,6.35,+38.5,Round 4,2010-04-18
Etihad Stadium,St Kilda,1.30,-22.5,Round 4,2010-04-18
Etihad Stadium,Fremantle,3.55,+22.5,Round 4,2010-04-18
Etihad Stadium,Western Bulldogs,1.09,-40.5,Round 5,2010-04-23
Etihad Stadium,Adelaide,7.50,+40.5,Round 5,2010-04-23
SCG,Sydney,1.15,-32.5,Round 5,2010-04-24
SCG,West Coast,5.55,+32.5,Round 5,2010-04-24
MCG,Melbourne,3.51,+21.5,Round 5,2010-04-24
MCG,Brisbane,1.31,-21.5,Round 5,2010-04-24
AAMI Stadium,Port Adelaide,3.44,+21.5,Round 5,2010-04-24
AAMI Stadium,St Kilda,1.32,-21.5,Round 5,2010-04-24
MCG,Collingwood,1.28,-23.5,Round 5,2010-04-25
MCG,Essendon,3.72,+23.5,Round 5,2010-04-25
Aurora Stadium,Hawthorn,1.34,-20.5,Round 5,2010-04-25
Aurora Stadium,North Melbourne,3.31,+20.5,Round 5,2010-04-25
Domain Stadium,Fremantle,1.05,-50.5,Round 5,2010-04-25
Domain Stadium,Richmond,10.45,+50.5,Round 5,2010-04-25
MCG,Carlton,4.75,+29.5,Round 5,2010-04-26
MCG,Geelong,1.19,-29.5,Round 5,2010-04-26
Etihad Stadium,Western Bulldogs,1.75,-4.5,Round 6,2010-04-30
Etihad Stadium,St Kilda,2.09,+4.5,Round 6,2010-04-30
Etihad Stadium,North Melbourne,2.06,+3.5,Round 6,2010-05-01
Etihad Stadium,Melbourne,1.77,-3.5,Round 6,2010-05-01
AAMI Stadium,Adelaide,2.55,+12.5,Round 6,2010-05-01
AAMI Stadium,Port Adelaide,1.52,-12.5,Round 6,2010-05-01
MCG,Essendon,2.65,+14.5,Round 6,2010-05-01
MCG,Hawthorn,1.49,-14.5,Round 6,2010-05-01
SCG,Sydney,1.52,-12.5,Round 6,2010-05-01
SCG,Brisbane,2.56,+12.5,Round 6,2010-05-01
GMHBA Stadium,Geelong,1.03,-60.5,Round 6,2010-05-02
GMHBA Stadium,Richmond,12.60,+60.5,Round 6,2010-05-02
MCG,Carlton,2.58,+13.5,Round 6,2010-05-02
MCG,Collingwood,1.51,-13.5,Round 6,2010-05-02
Domain Stadium,West Coast,2.99,+17.5,Round 6,2010-05-02
Domain Stadium,Fremantle,1.40,-17.5,Round 6,2010-05-02
MCG,Melbourne,4.22,+26.5,Round 7,2010-05-07
MCG,Western Bulldogs,1.23,-26.5,Round 7,2010-05-07
Domain Stadium,West Coast,1.54,-12.5,Round 7,2010-05-08
Domain Stadium,Hawthorn,2.51,+12.5,Round 7,2010-05-08
Etihad Stadium,Essendon,1.75,-4.5,Round 7,2010-05-08
Etihad Stadium,Port Adelaide,2.10,+4.5,Round 7,2010-05-08
Gabba,Brisbane,1.48,-14.5,Round 7,2010-05-08
Gabba,Fremantle,2.68,+14.5,Round 7,2010-05-08
MCG,Collingwood,1.19,-30.5,Round 7,2010-05-08
MCG,North Melbourne,4.81,+30.5,Round 7,2010-05-08
GMHBA Stadium,Geelong,1.28,-23.5,Round 7,2010-05-09
GMHBA Stadium,Sydney,3.72,+23.5,Round 7,2010-05-09
AAMI Stadium,Adelaide,1.20,-29.5,Round 7,2010-05-09
AAMI Stadium,Richmond,4.66,+29.5,Round 7,2010-05-09
Etihad Stadium,St Kilda,1.44,-16.5,Round 7,2010-05-10
Etihad Stadium,Carlton,2.81,+16.5,Round 7,2010-05-10
Domain Stadium,Fremantle,2.06,+3.5,Round 8,2010-05-14
Domain Stadium,Collingwood,1.78,-3.5,Round 8,2010-05-14
Manuka Oval,Western Bulldogs,1.60,-9.5,Round 8,2010-05-15
Manuka Oval,Sydney,2.35,+9.5,Round 8,2010-05-15
MCG,Melbourne,1.35,-19.5,Round 8,2010-05-15
MCG,West Coast,3.23,+19.5,Round 8,2010-05-15
Gabba,Brisbane,3.38,+20.5,Round 8,2010-05-15
Gabba,Geelong,1.33,-20.5,Round 8,2010-05-15
Etihad Stadium,North Melbourne,1.59,-9.5,Round 8,2010-05-15
Etihad Stadium,Adelaide,2.38,+9.5,Round 8,2010-05-15
MCG,Richmond,5.10,+30.5,Round 8,2010-05-16
MCG,Hawthorn,1.17,-30.5,Round 8,2010-05-16
AAMI Stadium,Port Adelaide,1.85,-1.5,Round 8,2010-05-16
AAMI Stadium,Carlton,1.96,+1.5,Round 8,2010-05-16
Etihad Stadium,St Kilda,1.40,-17.5,Round 8,2010-05-16
Etihad Stadium,Essendon,2.98,+17.5,Round 8,2010-05-16
MCG,Collingwood,2.07,+4.5,Round 9,2010-05-21
MCG,Geelong,1.76,-4.5,Round 9,2010-05-21
SCG,Sydney,1.73,-5.5,Round 9,2010-05-22
SCG,Fremantle,2.12,+5.5,Round 9,2010-05-22
Etihad Stadium,North Melbourne,4.22,+26.5,Round 9,2010-05-22
Etihad Stadium,Western Bulldogs,1.23,-26.5,Round 9,2010-05-22
TIO Stadium,Melbourne,2.48,+11.5,Round 9,2010-05-22
TIO Stadium,Port Adelaide,1.55,-11.5,Round 9,2010-05-22
MCG,Essendon,1.25,-24.5,Round 9,2010-05-22
MCG,Richmond,4.03,+24.5,Round 9,2010-05-22
AAMI Stadium,Adelaide,2.14,+5.5,Round 9,2010-05-23
AAMI Stadium,Brisbane,1.72,-5.5,Round 9,2010-05-23
Etihad Stadium,Carlton,1.37,-19.5,Round 9,2010-05-23
Etihad Stadium,Hawthorn,3.12,+19.5,Round 9,2010-05-23
Domain Stadium,West Coast,2.02,+3.5,Round 9,2010-05-23
Domain Stadium,St Kilda,1.80,-3.5,Round 9,2010-05-23
Etihad Stadium,Essendon,3.18,+19.5,Round 10,2010-05-28
Etihad Stadium,Western Bulldogs,1.36,-19.5,Round 10,2010-05-28
GMHBA Stadium,Geelong,1.04,-50.5,Round 10,2010-05-29
GMHBA Stadium,Melbourne,11.25,+50.5,Round 10,2010-05-29
AAMI Stadium,Port Adelaide,1.18,-30.5,Round 10,2010-05-29
AAMI Stadium,Richmond,4.93,+30.5,Round 10,2010-05-29
Etihad Stadium,St Kilda,1.23,-26.5,Round 10,2010-05-29
Etihad Stadium,Adelaide,4.25,+26.5,Round 10,2010-05-29
Gabba,Brisbane,3.66,+22.5,Round 10,2010-05-29
Gabba,Collingwood,1.29,-22.5,Round 10,2010-05-29
MCG,Hawthorn,1.30,-21.5,Round 10,2010-05-30
MCG,Sydney,3.55,+21.5,Round 10,2010-05-30
Etihad Stadium,Carlton,1.19,-30.5,Round 10,2010-05-30
Etihad Stadium,West Coast,4.75,+30.5,Round 10,2010-05-30
Domain Stadium,Fremantle,1.12,-38.5,Round 10,2010-05-30
Domain Stadium,North Melbourne,6.35,+38.5,Round 10,2010-05-30
Etihad Stadium,Richmond,6.05,+37.5,Round 11,2010-06-04
Etihad Stadium,St Kilda,1.13,-37.5,Round 11,2010-06-04
MCG,Carlton,1.37,-19.5,Round 11,2010-06-05
MCG,Melbourne,3.14,+19.5,Round 11,2010-06-05
AAMI Stadium,Adelaide,2.89,+17.5,Round 11,2010-06-05
AAMI Stadium,Fremantle,1.42,-17.5,Round 11,2010-06-05
Domain Stadium,West Coast,6.80,+39.5,Round 11,2010-06-05
Domain Stadium,Geelong,1.11,-39.5,Round 11,2010-06-05
Etihad Stadium,North Melbourne,2.53,+12.5,Round 11,2010-06-05
Etihad Stadium,Brisbane,1.53,-12.5,Round 11,2010-06-05
SCG,Sydney,1.68,-7.5,Round 11,2010-06-06
SCG,Essendon,2.20,+7.5,Round 11,2010-06-06
MCG,Hawthorn,1.39,-18.5,Round 11,2010-06-06
MCG,Port Adelaide,3.02,+18.5,Round 11,2010-06-06
Etihad Stadium,Collingwood,1.69,-6.5,Round 11,2010-06-06
Etihad Stadium,Western Bulldogs,2.18,+6.5,Round 11,2010-06-06
Etihad Stadium,North Melbourne,3.80,+23.5,Round 12,2010-06-11
Etihad Stadium,Carlton,1.27,-23.5,Round 12,2010-06-11
Aurora Stadium,Hawthorn,1.38,-18.5,Round 12,2010-06-12
Aurora Stadium,Adelaide,3.07,+18.5,Round 12,2010-06-12
AAMI Stadium,Port Adelaide,1.85,-2.5,Round 12,2010-06-12
AAMI Stadium,Sydney,1.97,+2.5,Round 12,2010-06-12
Etihad Stadium,Essendon,4.03,+25.5,Round 12,2010-06-12
Etihad Stadium,Geelong,1.25,-25.5,Round 12,2010-06-12
MCG,Richmond,1.82,-2.5,Round 12,2010-06-13
MCG,West Coast,2.00,+2.5,Round 12,2010-06-13
Etihad Stadium,Western Bulldogs,1.26,-24.5,Round 12,2010-06-13
Etihad Stadium,Brisbane,3.90,+24.5,Round 12,2010-06-13
Domain Stadium,Fremantle,1.66,-7.5,Round 12,2010-06-13
Domain Stadium,St Kilda,2.23,+7.5,Round 12,2010-06-13
MCG,Melbourne,5.32,+32.5,Round 12,2010-06-14
MCG,Collingwood,1.16,-32.5,Round 12,2010-06-14
MCG,Hawthorn,1.53,-11.5,Round 13,2010-06-18
MCG,Essendon,2.52,+11.5,Round 13,2010-06-18
Etihad Stadium,Carlton,1.65,-7.5,Round 13,2010-06-19
Etihad Stadium,Fremantle,2.25,+7.5,Round 13,2010-06-19
Gabba,Brisbane,1.40,-17.5,Round 13,2010-06-19
Gabba,Richmond,2.98,+17.5,Round 13,2010-06-19
Etihad Stadium,North Melbourne,1.33,-20.5,Round 13,2010-06-20
Etihad Stadium,Port Adelaide,3.35,+20.5,Round 13,2010-06-20
Domain Stadium,West Coast,3.44,+21.5,Round 13,2010-06-20
Domain Stadium,Western Bulldogs,1.32,-21.5,Round 13,2010-06-20
MCG,St Kilda,3.35,+20.5,Round 13,2010-06-25
MCG,Geelong,1.33,-20.5,Round 13,2010-06-25
ANZ Stadium,Sydney,2.23,+7.5,Round 13,2010-06-26
ANZ Stadium,Collingwood,1.66,-7.5,Round 13,2010-06-26
AAMI Stadium,Adelaide,1.62,-8.5,Round 13,2010-06-27
AAMI Stadium,Melbourne,2.31,+8.5,Round 13,2010-06-27
Etihad Stadium,Carlton,1.25,-24.5,Round 14,2010-07-01
Etihad Stadium,Brisbane,4.00,+24.5,Round 14,2010-07-01
MCG,Hawthorn,2.33,+9.5,Round 14,2010-07-02
MCG,Western Bulldogs,1.61,-9.5,Round 14,2010-07-02
Domain Stadium,Fremantle,1.12,-38.5,Round 14,2010-07-03
Domain Stadium,Port Adelaide,6.35,+38.5,Round 14,2010-07-03
AAMI Stadium,Adelaide,1.62,-8.5,Round 14,2010-07-03
AAMI Stadium,Essendon,2.32,+8.5,Round 14,2010-07-03
Etihad Stadium,Collingwood,1.06,-48.5,Round 14,2010-07-03
Etihad Stadium,West Coast,9.55,+48.5,Round 14,2010-07-03
GMHBA Stadium,Geelong,1.14,-35.5,Round 14,2010-07-04
GMHBA Stadium,North Melbourne,5.78,+35.5,Round 14,2010-07-04
MCG,Richmond,2.24,+7.5,Round 14,2010-07-04
MCG,Sydney,1.66,-7.5,Round 14,2010-07-04
Etihad Stadium,St Kilda,1.14,-35.5,Round 14,2010-07-04
Etihad Stadium,Melbourne,5.78,+35.5,Round 14,2010-07-04
AAMI Stadium,Port Adelaide,5.17,+31.5,Round 15,2010-07-09
AAMI Stadium,Collingwood,1.17,-31.5,Round 15,2010-07-09
Domain Stadium,West Coast,2.77,+15.5,Round 15,2010-07-10
Domain Stadium,Adelaide,1.45,-15.5,Round 15,2010-07-10
MCG,Geelong,1.34,-19.5,Round 15,2010-07-10
MCG,Hawthorn,3.29,+19.5,Round 15,2010-07-10
Etihad Stadium,Richmond,2.62,+14.5,Round 15,2010-07-10
Etihad Stadium,Fremantle,1.50,-14.5,Round 15,2010-07-10
Gabba,Brisbane,4.14,+25.5,Round 15,2010-07-10
Gabba,St Kilda,1.24,-25.5,Round 15,2010-07-10
SCG,Sydney,1.45,-16.5,Round 15,2010-07-11
SCG,North Melbourne,2.77,+16.5,Round 15,2010-07-11
MCG,Melbourne,1.87,-1.5,Round 15,2010-07-11
MCG,Essendon,1.95,+1.5,Round 15,2010-07-11
Etihad Stadium,Carlton,2.61,+13.5,Round 15,2010-07-11
Etihad Stadium,Western Bulldogs,1.50,-13.5,Round 15,2010-07-11
AAMI Stadium,Adelaide,4.03,+24.5,Round 16,2010-07-16
AAMI Stadium,Geelong,1.25,-24.5,Round 16,2010-07-16
MCG,Collingwood,2.10,+5.5,Round 16,2010-07-17
MCG,St Kilda,1.74,-5.5,Round 16,2010-07-17
Aurora Stadium,Hawthorn,1.29,-23.5,Round 16,2010-07-17
Aurora Stadium,Brisbane,3.66,+23.5,Round 16,2010-07-17
TIO Stadium,Western Bulldogs,1.17,-31.5,Round 16,2010-07-17
TIO Stadium,Port Adelaide,5.17,+31.5,Round 16,2010-07-17
Etihad Stadium,Essendon,1.40,-17.5,Round 16,2010-07-17
Etihad Stadium,West Coast,3.00,+17.5,Round 16,2010-07-17
Etihad Stadium,Carlton,1.59,-10.5,Round 16,2010-07-18
Etihad Stadium,Sydney,2.37,+10.5,Round 16,2010-07-18
MCG,Richmond,1.80,-2.5,Round 16,2010-07-18
MCG,North Melbourne,2.02,+2.5,Round 16,2010-07-18
Domain Stadium,Fremantle,1.20,-29.5,Round 16,2010-07-18
Domain Stadium,Melbourne,4.62,+29.5,Round 16,2010-07-18
Etihad Stadium,St Kilda,1.68,-6.5,Round 17,2010-07-23
Etihad Stadium,Hawthorn,2.20,+6.5,Round 17,2010-07-23
GMHBA Stadium,Geelong,1.05,-51.5,Round 17,2010-07-24
GMHBA Stadium,Brisbane,10.25,+51.5,Round 17,2010-07-24
MCG,Collingwood,1.10,-41.5,Round 17,2010-07-24
MCG,Richmond,7.10,+41.5,Round 17,2010-07-24
Domain Stadium,West Coast,1.95,+1.5,Round 17,2010-07-24
Domain Stadium,Carlton,1.87,-1.5,Round 17,2010-07-24
Etihad Stadium,North Melbourne,1.46,-15.5,Round 17,2010-07-24
Etihad Stadium,Essendon,2.75,+15.5,Round 17,2010-07-24
Etihad Stadium,Western Bulldogs,1.30,-22.5,Round 17,2010-07-25
Etihad Stadium,Fremantle,3.55,+22.5,Round 17,2010-07-25
MCG,Melbourne,2.33,+9.5,Round 17,2010-07-25
MCG,Sydney,1.61,-9.5,Round 17,2010-07-25
